file_size_mb,download_time_sec
87.13,13.29
4642.31,766.0
2146.64,375.42
4833.61,663.89
4818.46,876.58
4266.52,882.86
1479.3,316.41
1931.64,283.71
4257.17,857.59
1591.44,198.9
855.77,206.55
2788.44,355.65
4681.41,724.85
3483.19,567.83
2854.61,500.7
494.91,75.58
3078.89,495.76
4950.37,674.12
709.02,113.52
2596.46,406.32
4388.09,747.1
3706.44,600.86
3488.11,535.83
3515.4,774.75
1803.86,368.76
1475.02,211.17
4048.71,637.89
4052.47,671.99
4336.69,692.99
4567.07,695.0
2561.6,449.7
2512.57,460.66
3993.49,619.68
3253.32,619.25
3512.81,527.79
3981.01,878.07
4451.13,613.77
1696.6,254.22
1884.16,289.66
478.97,66.76
2895.62,366.28
189.35,26.74
2333.33,529.34
2717.8,550.94
1439.84,257.17
2958.26,471.9
162.2,24.73
196.37,36.44
4114.78,640.64
1807.35,330.02
644.03,118.0
2615.99,541.15
3852.27,730.46
1086.95,224.76
3118.22,591.58
435.88,63.68
267.89,50.73
2661.46,302.18
2707.77,402.27
3190.78,499.02
3633.2,676.9
4879.5,704.51
2586.34,458.14
1621.55,255.03
3977.98,451.65
1361.45,222.01
2200.47,297.68
401.5,74.16
136.5,22.6
4813.62,605.71
4181.54,745.18
3482.91,434.58
2050.68,294.95
874.74,156.77
790.62,118.72
1258.71,175.28
2750.64,401.68
3575.83,766.27
3304.38,598.6
1406.87,235.43
4774.78,773.94
3692.11,537.61
2776.23,432.6
3062.49,623.24
2103.8,317.34
1246.18,181.86
1786.3,267.26
3791.65,518.42
81.82,16.61
589.2,88.67
239.55,39.32
213.24,47.53
4278.75,641.44
3521.25,545.45
2376.13,365.88
498.19,100.54
2463.16,477.98
2372.62,326.45
874.28,141.02
2174.92,313.87
1998.54,320.6
3083.09,491.88
3179.12,442.35
236.07,49.08
1879.32,296.23
3133.04,543.11
2520.65,439.61
4283.88,721.5
3296.88,509.63
823.04,142.8
362.14,48.79
3215.67,600.61
142.29,25.24
2933.02,504.9
4701.75,611.92
2881.62,455.57
1946.97,269.9
3220.01,677.27
2296.68,352.96
2732.63,384.21
4707.91,744.6
1936.65,265.57
4806.34,838.62
4527.7,594.4
987.0,116.35
356.11,60.81
512.88,89.05
100.93,13.9
481.27,64.1
3418.2,598.83
365.23,64.85
1601.69,268.39
4225.93,862.27
126.13,24.64
4074.2,776.68
1416.46,258.83
599.64,98.62
3486.72,537.95
3148.42,404.77
4388.59,836.02
3678.0,508.43
4019.37,666.31
1417.35,234.17
895.42,131.73
3755.57,737.28
4036.11,609.55
4952.62,772.04
2068.96,308.05
1866.37,286.32
3884.3,448.99
1710.61,304.95
4654.48,814.87
4293.48,763.28
2150.68,378.26
3756.85,671.36
3775.17,508.45
524.59,69.1
4513.74,795.53
2531.21,468.14
4134.02,617.36
1607.05,285.39
4478.66,655.35
1952.12,304.84
64.08,14.1
4527.86,582.43
465.52,58.72
1603.38,284.87
4750.81,813.16
4753.53,727.36
2871.46,439.58
3162.87,458.75
2247.74,273.64
1473.12,244.18
1650.04,306.05
3365.87,692.57
3764.35,683.49
3959.98,637.08
3950.19,492.13
465.12,81.38
2477.16,384.65
297.22,48.76
2752.15,371.7
2213.24,252.23
4439.64,776.41
1761.07,307.6
594.16,81.57
723.53,104.49
3809.94,470.57
3094.91,457.58
514.6,89.36
429.69,63.47
3507.84,477.22
373.09,53.41
4111.08,610.63
3534.15,484.65
415.93,56.37
433.34,57.07
4933.33,715.26
1877.61,310.29
1859.5,292.86
4065.87,545.74
4736.77,871.87
4930.15,745.01
3769.36,648.76
1887.54,301.15
426.67,58.87
3887.96,605.09
2796.44,444.85
2126.87,435.28
4532.71,648.07
564.88,83.35
2468.2,295.61
66.65,12.77
2348.62,364.18
290.95,44.83
602.9,82.21
596.46,99.32
3249.56,498.23
3732.76,550.17
2921.01,455.19
4811.24,830.32
1880.6,293.9
1435.7,198.54
4344.31,833.29
1125.74,176.57
4816.48,868.47
70.65,13.44
4849.7,1026.38
225.37,40.3
4456.8,673.35
2643.23,339.07
4964.89,804.25
378.24,70.72
2773.73,341.54
4846.82,1009.53
2620.26,647.12
3150.7,474.23
3481.79,607.3
2278.16,436.2
3141.51,454.01
2925.73,453.51
4506.78,795.43
236.78,51.41
1412.01,198.68
4752.55,690.87
4452.42,724.8
2283.73,284.83
3104.46,601.28
1394.13,297.33
948.72,172.29
2323.86,374.84
1773.23,274.27
2922.44,492.63
397.9,64.43
4872.23,974.81
4931.19,641.2
3493.83,566.67
2685.12,366.41
1554.54,238.35
4070.84,607.34
3426.81,503.54
821.46,125.4
4555.53,662.9
4114.46,544.04
4749.5,738.09
3631.34,522.88
3070.94,499.04
2097.03,273.94
4664.32,838.61
4331.66,541.13
235.64,39.46
141.57,31.52
1888.55,296.36
4054.66,729.01
4936.51,696.21
760.58,136.31
2974.71,514.49
1910.65,445.38
4849.87,836.67
4212.17,1101.67
4193.26,901.08
2348.78,335.38
2079.95,296.84
1374.3,207.85
291.31,56.58
4324.96,697.63
4066.38,651.65
4998.59,984.02
4983.22,643.93
2781.6,390.28
3847.25,640.27
4724.38,752.72
4249.74,660.07
1244.27,296.01
2258.22,380.95
654.51,118.24
4770.71,909.58
3034.81,508.68
1150.93,143.56
3361.79,491.0
3094.46,553.33
1797.23,264.11
576.65,76.28
3361.15,470.4
2606.34,416.33
3863.87,690.95
2605.62,375.75
4262.39,642.39
2764.02,388.62
2809.08,407.99
4384.5,602.1
2023.38,354.72
678.74,92.06
153.63,23.97
3778.13,455.15
3105.34,559.42
3523.36,442.74
1072.69,166.46
690.49,124.63
82.58,15.56
1759.43,297.95
2953.69,443.94
1967.3,292.16
2193.0,388.8
4521.75,726.78
1747.79,210.88
2574.81,323.79
3920.43,586.46
1988.75,316.37
3114.21,489.49
4313.19,630.73
4748.11,910.19
743.9,126.47
4633.67,1012.5
2465.66,371.69
1298.64,188.52
2301.09,399.62
4900.36,627.18
2468.16,491.39
1650.47,345.25
3170.67,491.09
1208.33,167.59
388.56,58.58
653.11,116.84
648.95,90.09
767.99,124.46
702.75,117.15
3207.96,452.0
917.58,133.13
1734.88,372.0
4484.97,583.21
2375.07,312.0
3341.11,595.31
869.88,132.22
969.52,144.07
213.93,33.53
