CustomerID,Annual_Income,Spending_Score,Distance_C1,Distance_C2,Distance_C3,Assigned_Cluster,Squared_Distance_to_New_Centroid
1082,86.9,38,68.1322,43.1056,6.8559,3,44.2403
1083,41.1,56,18.9358,7.156,47.7805,2,51.9026
1084,37.9,42,25.8833,11.468,45.8173,2,121.6484
1085,27.8,54,10.4985,18.183,58.9706,1,108.904
1086,84.3,27,70.7619,45.2274,5.7722,3,47.0782
1087,60.4,44,41.5653,16.1175,25.0949,2,265.3716
1088,36.6,60,13.3224,13.1362,53.6794,2,172.8437
1089,52.5,52,30.9925,7.0332,35.9464,2,54.9405
1090,35.2,37,29.0379,17.0363,47.7407,2,275.6116
1091,69.3,50,47.5162,23.6684,22.0173,3,435.0782
1092,39.4,57,16.9774,9.0327,49.7525,2,81.818
1093,39.7,68,16.465,18.5121,55.751,1,249.842
1094,49.2,55,26.8474,5.7673,40.3514,2,38.4759
1095,21.3,72,8.6616,32.4959,73.0063,1,75.794
1096,53.7,52,32.1068,8.2085,34.9431,2,73.6134
1097,41,66,17.3479,16.2116,53.4809,2,269.5423
1098,45.4,57,22.6138,6.5388,44.6241,2,46.7823
1099,40.6,53,19.919,5.638,46.8315,2,30.3366
