CustomerID,Annual_Income,Spending_Score,Distance_C1,Distance_C2,Distance_C3,Assigned_Cluster,Squared_Distance_to_New_Centroid
1076,54,41,53.7587,18.2014,51.7302,2,134.0828
1077,54.3,44,51.9662,15.2971,53.7777,2,88.9328
1078,38.4,74,23.7394,19.7841,87.2439,2,629.3735
1079,15,53,25,36.7925,89.3913,1,148.9081
1080,50.1,44,48.8673,15.0479,56.5862,2,50.6241
1081,53.2,46,49.8321,13.1381,56.0162,2,52.7854
1082,86.9,38,82.2776,41.3323,35.0691,3,125.0661
1083,41.1,56,34.1352,10.632,71.5052,2,71.1086
1084,37.9,42,42.6663,21.6462,64.3618,2,170.1306
1085,27.8,54,27.2,24.026,79.7414,2,404.6518
1086,84.3,27,86.0435,45.9674,24.4753,3,5.8807
1087,60.4,44,56.72,17.5445,50.0469,2,207.4017
1088,36.6,60,28.1169,14.734,77.4935,2,208.8051
1089,52.5,52,45.6317,7.1021,61.1601,2,25.3779
1090,35.2,37,45.706,27.2619,63.7276,2,341.7741
1091,69.3,50,61.0941,20.1246,51.0004,2,469.6371
1092,39.4,57,32.1925,12.0669,73.39,2,107.8806
1093,39.7,68,26.6475,14.682,81.6417,2,363.1537
1094,49.2,55,41.2146,4.5177,65.544,2,21.1318
1095,21.3,72,8.7,32.6956,96.7359,1,67.1614
1096,53.7,52,46.6228,7.4,60.4496,2,38.4833
1097,41,66,28.6356,12.4535,79.2629,2,278.9054
1098,45.4,57,36.9481,6.2298,69.4672,2,45.0073
1099,40.6,53,35.7821,12.2674,69.6581,2,54.9544
